Date,Name1,Name2
2021-02-08,Raonic M.,Coria F.
2021-02-08,Mannarino A.,Novak D.
2021-02-08,Monfils G.,Ruusuvuori E.
2021-02-08,Millman J.,Moutet C.
2021-02-08,Opelka R.,Lu Y.
2021-02-08,Wawrinka S.,Sousa P.
2021-02-08,Gombos N.,Bolt A.
2021-02-08,Nishioka Y.,Martinez P.
2021-02-08,Fritz T.,Ramos-Vinolas A.
2021-02-08,Fucsovics M.,Polmans M.
2021-02-08,Thiem D.,Kukushkin M.
2021-02-08,Mager G.,Karatsev A.
2021-02-08,Kecmanovic M.,Majchrzak K.
2021-02-08,Zverev A.,Giron M.
2021-02-08,Bublik A.,Bedene A.
2021-02-08,Paire B.,Gerasimov E.
2021-02-08,Duckworth J.,Dzumhur D.
2021-02-08,Vesely J.,Coppejans K.
2021-02-08,Humbert U.,Uchiyama Y.
2021-02-08,Londero J.I.,Muller A.
2021-02-08,Carreno Busta P.,Nishikori K.
2021-02-08,Travaglia S.,Tiafoe F.
2021-02-08,Dimitrov G.,Cilic M.
2021-02-08,Koepfer D.,Dellien H.
2021-02-08,Lajovic D.,Stakhovsky S.
2021-02-08,Auger-Aliassime F.,Stebe C.M.
2021-02-08,Schwartzman D.,Ymer E.
2021-02-08,Sugita Y.,Tomic B.
2021-02-08,Kyrgios N.,Ferreira Silva F.
2021-02-08,Daniel T.,Cressy M.
2021-02-08,Djokovic N.,Chardy J.
2021-02-08,Shapovalov D.,Sinner J.
2021-02-09,Harris L.,Torpegaard M.
2021-02-09,Cecchinato M.,Mcdonald M.
2021-02-09,Monteiro T.,Martin A.
2021-02-09,Struff J.L.,O Connell C.
2021-02-09,Coric B.,Pella G.
2021-02-09,Alcaraz C.,Van De Zandschulp B.
2021-02-09,Hurkacz H.,Ymer M.
2021-02-09,Rublev A.,Hanfmann Y.
2021-02-09,Goffin D.,Popyrin A.
2021-02-09,Khachanov K.,Vukic A.
2021-02-09,Bautista Agut R.,Albot R.
2021-02-09,Cuevas P.,Seppi A.
2021-02-09,Krajinovic F.,Haase R.
2021-02-09,Andujar P.,Halys Q.
2021-02-09,Berankis R.,Nagal S.
2021-02-09,Medvedev D.,Pospisil V.
2021-02-09,Lopez F.,Tu L.
2021-02-09,Sonego L.,Querrey S.
2021-02-09,Basilashvili N.,Paul T.
2021-02-09,Nadal R.,Djere L.
2021-02-09,Caruso S.,Laaksonen H.
2021-02-09,Mmoh M.,Troicki V.
2021-02-09,De Minaur A.,Sandgren T.
2021-02-09,Balazs A.,Carballes Baena R.
2021-02-09,Evans D.,Norrie C.
2021-02-09,Vilella Martinez M.,Machac T.
2021-02-09,Fognini F.,Herbert P.H.
2021-02-09,Ruud C.,Thompson J.
2021-02-09,Kwon S.W.,Kokkinakis T.
2021-02-09,Berrettini M.,Anderson K.
2021-02-09,Ivashka I.,Safiullin R.
2021-02-09,Tsitsipas S.,Simon G.
2021-02-10,Gerasimov E.,Karatsev A.
2021-02-10,Wawrinka S.,Fucsovics M.
2021-02-10,Ruusuvuori E.,Martinez P.
2021-02-10,Auger-Aliassime F.,Duckworth J.
2021-02-10,Schwartzman D.,Muller A.
2021-02-10,Raonic M.,Moutet C.
2021-02-10,Djokovic N.,Tiafoe F.
2021-02-10,Thiem D.,Koepfer D.
2021-02-10,Lajovic D.,Bublik A.
2021-02-10,Fritz T.,Opelka R.
2021-02-10,Shapovalov D.,Tomic B.
2021-02-10,Mannarino A.,Kecmanovic M.
2021-02-10,Carreno Busta P.,Vesely J.
2021-02-10,Humbert U.,Kyrgios N.
2021-02-10,Zverev A.,Cressy M.
2021-02-10,Dimitrov G.,Bolt A.
2021-02-11,Sonego L.,Lopez F.
2021-02-11,Rublev A.,Monteiro T.
2021-02-11,Harris L.,Popyrin A.
2021-02-11,Ymer M.,Alcaraz C.
2021-02-11,Ruud C.,Paul T.
2021-02-11,Khachanov K.,Berankis R.
2021-02-11,Krajinovic F.,Andujar P.
2021-02-11,Tsitsipas S.,Kokkinakis T.
2021-02-11,Berrettini M.,Machac T.
2021-02-11,Coric B.,Mcdonald M.
2021-02-11,Albot R.,O Connell C.
2021-02-11,Fognini F.,Caruso S.
2021-02-11,Norrie C.,Safiullin R.
2021-02-11,De Minaur A.,Cuevas P.
2021-02-11,Medvedev D.,Carballes Baena R.
2021-02-11,Nadal R.,Mmoh M.
2021-02-12,Carreno Busta P.,Dimitrov G.
2021-02-12,Zverev A.,Mannarino A.
2021-02-12,Lajovic D.,Martinez P.
2021-02-12,Schwartzman D.,Karatsev A.
2021-02-12,Raonic M.,Fucsovics M.
2021-02-12,Shapovalov D.,Auger-Aliassime F.
2021-02-12,Thiem D.,Kyrgios N.
2021-02-12,Djokovic N.,Fritz T.
2021-02-13,Ruud C.,Albot R.
2021-02-13,Harris L.,Mcdonald M.
2021-02-13,Medvedev D.,Krajinovic F.
2021-02-13,Tsitsipas S.,Ymer M.
2021-02-13,Rublev A.,Lopez F.
2021-02-13,Berrettini M.,Khachanov K.
2021-02-13,Fognini F.,De Minaur A.
2021-02-13,Nadal R.,Norrie C.
2021-02-14,Auger-Aliassime F.,Karatsev A.
2021-02-14,Thiem D.,Dimitrov G.
2021-02-14,Zverev A.,Lajovic D.
2021-02-14,Djokovic N.,Raonic M.
2021-02-15,Medvedev D.,Mcdonald M.
2021-02-15,Rublev A.,Ruud C.
2021-02-15,Nadal R.,Fognini F.
2021-02-15,Tsitsipas S.,Berrettini M.
2021-02-16,Dimitrov G.,Karatsev A.
2021-02-16,Djokovic N.,Zverev A.
2021-02-17,Medvedev D.,Rublev A.
2021-02-17,Nadal R.,Tsitsipas S.
2021-02-18,Djokovic N.,Karatsev A.
2021-02-19,Medvedev D.,Tsitsipas S.
2021-02-21,Djokovic N.,Medvedev D.
