Predicted prob,Predicted variance,Odds1,Odds2,Result
0.091704644,0.091704644,1.01,26.0,0.0
0.23728818,0.23728818,1.66,2.2,0.0
0.1657995,0.1657995,2.3,1.61,1.0
0.29469422,0.29469422,1.4,3.0,1.0
0.3491059,0.3491059,1.06,10.0,0.0
0.08961782,0.08961782,1.08,8.0,0.0
0.40670738,0.40670738,2.2,1.66,1.0
0.39745954,0.39745954,1.36,3.2,1.0
0.17879006,0.17879006,1.14,5.5,0.0
0.27246958,0.27246958,1.16,5.0,0.0
0.20112866,0.20112866,1.02,17.0,0.0
0.3738718,0.3738718,4.0,1.25,1.0
0.4574945,0.4574945,1.44,2.75,0.0
0.08219826,0.08219826,1.05,11.0,0.0
0.42611974,0.42611974,2.0,1.8,0.0
0.082428224,0.082428224,5.0,1.16,1.0
0.31178743,0.31178743,1.36,3.2,0.0
0.22010735,0.22010735,1.25,4.0,0.0
0.38012668,0.38012668,1.14,5.5,0.0
0.32794648,0.32794648,2.0,1.8,1.0
0.15464944,0.15464944,1.33,3.4,0.0
0.3693533,0.3693533,3.75,1.28,1.0
0.25040656,0.25040656,1.5,2.62,0.0
0.37561062,0.37561062,1.22,4.33,0.0
0.27171317,0.27171317,1.36,3.2,0.0
0.33374017,0.33374017,1.12,6.0,0.0
0.122423,0.122423,1.04,13.0,0.0
0.29458824,0.29458824,1.66,2.2,1.0
0.17802536,0.17802536,1.14,5.5,0.0
0.42547345,0.42547345,1.72,2.1,1.0
0.3194449,0.3194449,1.01,26.0,0.0
0.30056176,0.30056176,1.5,2.62,0.0
0.32266307,0.32266307,1.36,3.2,0.0
0.34899163,0.34899163,3.2,1.36,1.0
0.37160987,0.37160987,1.22,4.33,0.0
0.22277564,0.22277564,1.2,4.5,1.0
0.19948949,0.19948949,1.12,6.0,0.0
0.38133714,0.38133714,1.66,2.2,0.0
0.34128195,0.34128195,1.22,4.33,1.0
0.17857611,0.17857611,1.01,23.0,0.0
0.41506204,0.41506204,1.4,3.0,1.0
0.23023762,0.23023762,1.1,7.0,0.0
0.21588874,0.21588874,1.05,11.0,1.0
0.3299416,0.3299416,1.66,2.2,0.0
0.3341242,0.3341242,1.22,4.33,0.0
0.36688036,0.36688036,3.0,1.4,0.0
0.40919816,0.40919816,1.12,6.0,0.0
0.28286996,0.28286996,1.04,13.0,0.0
0.27463073,0.27463073,1.33,3.4,0.0
0.2957513,0.2957513,1.8,2.0,0.0
0.41130233,0.41130233,4.5,1.2,1.0
0.36892813,0.36892813,1.01,26.0,0.0
0.36220223,0.36220223,1.57,2.37,0.0
0.34685132,0.34685132,1.66,2.2,0.0
0.35384703,0.35384703,1.12,6.0,0.0
0.3771213,0.3771213,8.0,1.08,1.0
0.37371245,0.37371245,1.4,3.0,1.0
0.44017524,0.44017524,2.75,1.44,1.0
0.14174862,0.14174862,1.72,2.1,0.0
0.42592642,0.42592642,1.8,2.0,0.0
0.38335565,0.38335565,2.1,1.72,1.0
0.3241968,0.3241968,1.33,3.4,0.0
0.37494138,0.37494138,2.37,1.57,1.0
0.17672317,0.17672317,1.06,10.0,0.0
0.44778648,0.44778648,2.5,1.53,1.0
0.26758888,0.26758888,1.4,3.0,1.0
0.3694414,0.3694414,1.4,3.0,1.0
0.28482014,0.28482014,1.2,4.5,0.0
0.119632825,0.119632825,1.08,8.0,0.0
0.3824404,0.3824404,1.12,6.0,0.0
0.12674598,0.12674598,29.0,0.967,0.0
0.22656165,0.22656165,1.06,10.0,0.0
0.47527218,0.47527218,2.75,1.44,0.0
0.28493106,0.28493106,1.66,2.2,0.0
0.24041417,0.24041417,1.07,9.0,0.0
0.26612288,0.26612288,2.1,1.72,0.0
0.41691235,0.41691235,1.22,4.33,0.0
0.34992126,0.34992126,2.0,1.8,1.0
0.064027146,0.064027146,1.08,8.0,0.0
0.4267648,0.4267648,1.22,4.33,0.0
0.25723526,0.25723526,1.25,4.0,1.0
0.22114486,0.22114486,1.04,13.0,0.0
0.36415794,0.36415794,1.61,2.3,0.0
0.3869933,0.3869933,2.62,1.5,0.0
0.43226656,0.43226656,1.72,2.1,0.0
0.38406578,0.38406578,1.25,4.0,0.0
0.20964928,0.20964928,1.12,6.0,0.0
0.17839837,0.17839837,1.08,8.0,0.0
0.22902621,0.22902621,1.05,11.0,0.0
0.16735123,0.16735123,1.2,4.5,1.0
0.32104278,0.32104278,2.5,1.53,0.0
0.05168737,0.05168737,1.4,3.0,0.0
0.3359876,0.3359876,1.36,3.2,0.0
0.40879303,0.40879303,1.08,8.0,0.0
0.43313506,0.43313506,1.005,29.0,0.0
0.10831971,0.10831971,1.01,23.0,0.0
0.24826734,0.24826734,2.1,1.72,1.0
0.33803073,0.33803073,1.14,5.5,0.0
0.23208576,0.23208576,1.72,2.1,0.0
0.38924873,0.38924873,1.33,3.4,1.0
0.14468808,0.14468808,1.14,5.5,0.0
0.23328815,0.23328815,1.44,2.75,1.0
0.06668748,0.06668748,1.28,3.75,0.0
0.18554969,0.18554969,1.01,21.0,0.0
0.2340497,0.2340497,1.33,3.4,0.0
0.38408905,0.38408905,1.66,2.2,1.0
0.31418943,0.31418943,1.05,11.0,0.0
0.32100958,0.32100958,1.03,15.0,0.0
0.17153142,0.17153142,1.02,19.0,0.0
0.39068383,0.39068383,1.4,3.0,0.0
0.059895918,0.059895918,5.5,1.14,0.0
0.2059675,0.2059675,1.02,19.0,0.0
0.37568,0.37568,1.53,2.5,1.0
0.3664642,0.3664642,1.33,3.4,1.0
0.08114909,0.08114909,1.06,10.0,0.0
0.04404878,0.04404878,1.44,2.75,0.0
0.15106702,0.15106702,1.03,15.0,0.0
0.39754483,0.39754483,1.08,8.0,0.0
0.053993117,0.053993117,1.16,5.0,0.0
0.29006183,0.29006183,1.25,4.0,0.0
0.39214936,0.39214936,1.3,3.5,1.0
0.037692983,0.037692983,1.57,2.37,0.0
0.33782598,0.33782598,1.44,2.75,0.0
0.11563315,0.11563315,1.44,2.75,1.0
0.4177518,0.4177518,1.07,9.0,0.0
0.22430897,0.22430897,1.4,3.0,0.0
0.14145957,0.14145957,1.83,2.0,0.0
